kaptCode,kaptName,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptFax,kaptUrl,codeAptNm,doroJuso,hoCnt,codeMgrNm,codeHallNm,kaptUsedate,kaptMarea,kaptMparea_60,kaptMparea_85,kaptMparea_135,kaptMparea_136,privArea,bjdCode,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility
A47274220,LH별사랑마을2-2단지,경기도 남양주시 별내동 905 LH별사랑마을2-2단지,국민임대,지역난방,48175.26,5,574,동양건설,동양건설,315288990,315277990, ,아파트,경기도 남양주시 순화궁로 382,574,위탁관리,복도식,20141030,48005.5428,574,0,0,0,25044.1,4136011100,위탁관리,6,우리관리주식회사,위탁관리,3,(주)홈스웰,위탁관리,5,거점장비수거방식,위탁관리,4,분무식,철근콘크리트구조,1800,단일계약,상주선임,P형,부스타방식,위탁관리,11,185,343,무,58,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",15~20분이내,경춘선,NA,NA,공원(),초등학교() 중학교() 고등학교()
A47274221,별내 별빛마을3-5단지,경기도 남양주시 별내동 62 별내 별빛마을3-5단지,국민임대,지역난방,60311.37,5,752,한진중공업,한국토지주택공사,315710728,315720728,별빛마을3-5단지.apt.co.kr,아파트,경기도 남양주시 별내4로 62,752,위탁관리,복도식,20141202,60144.5292,752,0,0,0,31579.88,4136011100,위탁관리,7,우리관리,위탁관리,4,(주)홈스웰,위탁관리,6,기타,위탁관리,12,"도포식,분무식",철골철근콘크리트구조,1650,단일계약,상주선임,R형,부스타방식,위탁관리,13,224,456,무,84,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",5분이내,경춘선,NA,15~20분이내,관공서() 병원() 대형상가(이마트) 공원(),초등학교(한별초등학교) 중학교(한별중학교)
A47278416,호평중흥S클래스,경기도 남양주시 호평동 616 호평중흥S클래스,분양,개별난방,158978,17,1054,중흥건설산업,중흥종합건설,315913085,315913086,hpjungheung. apti.co.kr,아파트,경기도 남양주시 늘을3로 65-26,1054,위탁관리,계단식,20050217,124932,0,978,76,0,90070.9416,4136010100,위탁관리,9,우리관리(주),위탁관리,8,우리관리(주),위탁관리,11,음식물쓰레기종량제,위탁관리,4,"도포식,분무식,독이식",철근콘크리트구조,4800,단일계약,상주선임,R형,부스타방식,위탁관리,30,451,966,무,194,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",10~15분이내,경춘선,NA,10~15분이내,관공서(동사무소 등) 병원(소규모 의원) 백화점(이마트) 대형상가(할인마트(이마트)) 공원(근린공원),"초등학교(평동,판곡) 중학교(호평,판곡) 고등학교(호평,판곡)"
A47278513,호평대주파크빌,경기도 남양주시 호평동 613 호평대주파크빌,분양,개별난방,95654,10,673,대주건설(주),엔에이건설(주),315115059,315134800,호평대주파크빌.ma-um.co.kr,아파트,경기도 남양주시 늘을2로 90-39,673,위탁관리,계단식,20041231,82080.753,0,597,0,76,61391.8,4136010100,위탁관리,6,(주)무림하우징,위탁관리,5,주)신현대관리,위탁관리,6,음식물쓰레기종량제,위탁관리,4,"분무식,독이식",철근콘크리트구조,1400,단일계약,상주선임,GR형,부스타방식,위탁관리,18,446,380,무,116,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 커뮤니티공간",5~10분이내,경춘선,NA,10~15분이내,관공서(동사무소 등) 병원(소규모 의원) 대형상가(할인마트(이마트)) 공원(근린공원),초등학교(평동) 중학교(호평) 고등학교(호평)
A47278711,호평해링턴플레이스,경기도 남양주시 호평동 671 호평해링턴플레이스,분양,개별난방,87436.15,11,607,효성건설,효성,315115747,315115748, ,아파트,경기도 남양주시 호평로 118,607,위탁관리,계단식,20040923,65770.89,0,607,0,0,51309.57,4136010100,위탁관리,5,서일개발(주),위탁관리,8,웅산산업개발(주),위탁관리,5,차량수거방식,위탁관리,12,"도포식,독이식",철근콘크리트구조,1800,종합계약,상주선임,R형,부스타방식,위탁관리,16,131,792,유,136,"관리사무소, 노인정, 보육시설, 문고, 어린이놀이터, 자전거보관소",10~15분이내,경춘선,NA,10~15분이내,관공서(동사무소 등) 병원(소규모 의원) 대형상가(할인마트(이마트)) 공원(근린공원),초등학교(평동) 중학교(호평) 고등학교(호평)
A47278814,호평금강,경기도 남양주시 호평동 668 호평금강,분양,개별난방,129046.836,14,892,금강주택,금강주택,315116401,315116402, ,아파트,경기도 남양주시 호평로 90,892,위탁관리,계단식,20041012,94386.6,0,892,0,0,68585.267,4136010100,위탁관리,7,(주)화신지엠에스,위탁관리,8,명원실업,위탁관리,9,음식물쓰레기종량제,위탁관리,12,분무식,철근콘크리트구조,2500,단일계약,상주선임,R형,부스타방식,위탁관리,25,346,828,무,188,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",10~15분이내,경춘선,NA,10~15분이내,관공서(동사무소 등) 병원(소규모 의원) 대형상가(할인마트(이마트)) 공원(근린공원),초등학교(평동) 중학교(호평) 고등학교(호평)
A47278815,남양주호평6단지,경기도 남양주시 호평동 712 남양주호평6단지,임대,개별난방,64955.746,8,755,양우건설,한국토지주택공사,315110477,315110478,http://cafe.daum.net/hs-peoples,아파트,경기도 남양주시 늘을3로 8,755,위탁관리,혼합식,20100817,64491.052,755,0,0,0,37962.15,4136010100,위탁관리,6,서림주택관리(주),위탁관리,6,(주)국보종합관리,위탁관리,6,차량수거방식,위탁관리,12,독이식,철근콘크리트구조,2100,단일계약,상주선임,R형,부스타방식,위탁관리,16,342,392,무,87,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5~10분이내,분당선,호평,5~10분이내,관공서(호평경찰서) 병원(보건소) 대형상가(E마트) 기타(소방서),초등학교(판곡) 중학교(호평) 고등학교(호일)
A47278816,호평파라곤,경기도 남양주시 호평동 724 호평파라곤,분양,개별난방,279286.13,25,1275,동양건설,동양건설,315595876,315595878,cafe.naver.com/happyparagon.cafe,아파트,경기도 남양주시 천마산로 65,1275,위탁관리,계단식,20101231,186707.35,258,150,482,385,148919.33,4136010100,위탁관리,11,우리관리(주),위탁관리,11,듀델코리아,위탁관리,16,차량수거방식,위탁관리,12,"분무식,기구부착식",철근콘크리트구조,9350,종합계약,상주선임,R형,부스타방식,위탁관리,38,40,2251,유,340,"관리사무소, 노인정, 보육시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",5~10분이내,경춘선,NA,NA,관공서(남양주시청) 대형상가(이마트) 공원(천마산),초등학교(호평초등학교) 중학교(판곡중학교) 고등학교(판곡고등학교)
A47278817,LH호평1단지,경기도 남양주시 호평동 726 LH호평1단지,국민임대,개별난방,45397.958,8,600,한일건설,한국토지주택공사,315951861,315951862, ,아파트,경기도 남양주시 늘을1로 107,600,위탁관리,복도식,20140122,45046.489,600,0,0,0,26446.55,4136010100,위탁관리,6,우리관리(주),위탁관리,6,(주)홈스웰,위탁관리,4,음식물쓰레기종량제,위탁관리,12,"분무식,기구부착식",철근콘크리트구조,1800,단일계약,상주선임,R형,부스타방식,위탁관리,26,333,196,무,51,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,경춘선,호평,10~15분이내,관공서(호평경찰서) 대형상가(E마트) 기타(소방서),초등학교(판곡) 중학교(판곡) 고등학교(판곡)
A47278818,호평두산위브파크,경기도 남양주시 호평동 622 호평두산위브파크,분양,개별난방,32407.6138,1,119,두산중공업,(주)크린건설,315936633,315936613, ,주상복합,경기도 남양주시 호평로 33,119,위탁관리,타워형,20091016,29155.9017,0,0,33,86,17218.1547,4136010100,위탁관리,4,대원종합관리(주),NA,NA,NA,위탁관리,2,차량수거방식,위탁관리,12,"도포식,분무식,독이식",철근콘크리트구조,850,단일계약,위탁선임,R형,부스타방식,위탁관리,4,12,252,유,64,"관리사무소, 자전거보관소",5분이내,경춘선,NA,5~10분이내,관공서() 병원() 대형상가() 공원(),초등학교() 중학교() 고등학교()
A47278910,호평동원로얄듀크,경기도 남양주시 호평동 676 호평동원로얄듀크,분양,개별난방,85346.503,9,593,동원개발,동원개발,315146994,315146995,동원로얄듀크.ma-um.co.kr,아파트,경기도 남양주시 호평로 93,593,위탁관리,계단식,20050721,63622.97,0,593,0,0,50401.9757,4136010100,위탁관리,6,태림주택종합관리(주),위탁관리,8,태양삼차원환경,위탁관리,5,음식물쓰레기종량제,위탁관리,12,"도포식,분무식",철근콘크리트구조,2150,종합계약,상주선임,R형,부스타방식,위탁관리,16,135,643,무,127,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",10~15분이내,경춘선,NA,10~15분이내,관공서(동사무소 등) 병원(소규모 의원) 백화점(이마트) 대형상가(할인마트(이마트)) 공원(근린공원),"초등학교(평동,구룡) 중학교(호평) 고등학교(호평)"
A47279006,호평한화꿈에그린,경기도 남양주시 호평동 618 호평한화꿈에그린,분양,개별난방,59051,6,414,(주)한화건설,(주)한화건설,315111706,315111708, ,아파트,NA,414,위탁관리,계단식,20051125,45163.6326,0,414,0,0,35181.72,4136010100,위탁관리,5,대한종합관리(주),위탁관리,4,백송종합관리,위탁관리,4,차량수거방식,위탁관리,12,분무식,철근콘크리트구조,1650,단일계약,상주선임,R형,부스타방식,위탁관리,15,132,414,무,115,"어린이놀이터, 자전거보관소, 기타",10~15분이내,경춘선,평내호평역,10~15분이내,관공서(동사무소 등) 병원(소규모 의원) 백화점(이마트) 대형상가(할인마트(이마트)) 공원(근린공원),초등학교(평동) 중학교(호평) 고등학교(호평)
A47279101,호평쌍용스윗닷홈,경기도 남양주시 호평동 215-1 호평쌍용스윗닷홈,분양,개별난방,21835.66,2,184,쌍용건설(주),샘하우징(주),315150001,315150002,호평쌍용스윗닷홈.ma-um.co.kr,아파트,NA,184,위탁관리,계단식,20060224,17495,0,132,52,0,17495,4136010100,위탁관리,3,대한종합관리(주),위탁관리,2,제상에스디,위탁관리,2,차량수거방식,위탁관리,12,"도포식,분무식",철근콘크리트구조,800,종합계약,기타,R형,부스타방식,위탁관리,5,101,119,무,21,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,"경의중앙선, 경춘선",NA,5~10분이내,관공서() 대형상가() 공원(),초등학교() 중학교()
A47279205,플루리움3단지,경기도 남양주시 다산동 4002-1 플루리움3단지,분양,개별난방,243846.854,12,1144,(주)부영,(주)부영,315582800,315582801,도농부영3단지.apti.co.kr,아파트,경기도 남양주시 도농로 34,1144,위탁관리,계단식,20010509,158579.04,0,84,776,284,158579.644,4136011200,위탁관리,11,우리관리(주),위탁관리,14,(주)에스원,위탁관리,17,음식물쓰레기종량제,위탁관리,12,"도포식,분무식,독이식",철근콘크리트구조,3650,단일계약,상주선임,R형,고가수조식,위탁관리,24,379,1765,유,275,"관리사무소, 노인정, 보육시설, 어린이놀이터, 자전거보관소",5~10분이내,경의중앙선,도농,5~10분이내,관공서(도농동사무소) 병원(동부의원) 대형상가(LG하이프라자),초등학교(도농초등학교) 중학교(도농중학교) 고등학교(동화고등학교)
A47279207,플루리움2단지,경기도 남양주시 다산동 4002-1 플루리움2단지,분양,개별난방,278849.643,16,1484,(주)부영,부영,315582521,315582523,by2gt.com,아파트,경기도 남양주시 도농로 34,1484,위탁관리,계단식,20020122,216815.34,0,482,730,272,179939.638,4136011200,위탁관리,12,에이제이대원 주식회사,위탁관리,14,KT텔레캅,위탁관리,19,음식물쓰레기종량제,위탁관리,12,도포식,철근콘크리트구조,4000,단일계약,상주선임,R형,고가수조식,위탁관리,31,398,2042,유,339,"관리사무소, 노인정, 보육시설, 어린이놀이터, 유치원, 자전거보관소",5~10분이내,경의중앙선,도농,5~10분이내,관공서(도농동사무소) 병원(동부의원) 대형상가(이마트),"초등학교(도농초등학교, 금교초등학교) 중학교(도농중학교) 고등학교(동화고등학교)"
A47279408,플루리움4.5단지아파트,경기도 남양주시 다산동 4002-1 플루리움4.5단지아파트,분양,개별난방,430091.575,18,2042,(주)부영,(주)부영,315688260,315588261,http://도농부영4-5단지.apti.co.kr,아파트,경기도 남양주시 도농로 34,2042,위탁관리,계단식,20001109,329295.82,0,324,977,741,275719.245,4136011200,위탁관리,17,율산개발 유한회사,위탁관리,20,ADT캡스,위탁관리,26,음식물쓰레기종량제,위탁관리,4,"도포식,분무식,기구부착식,독이식",철근콘크리트구조,7750,단일계약,상주선임,R형,고가수조식,위탁관리,41,545,3350,유,433,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5~10분이내,경의중앙선,도농역,5~10분이내,관공서(도농동사무소) 병원(동부의원) 대형상가(LG하이프라자),초등학교(도농초등학교) 중학교(도농중학교) 고등학교(동화고등학교)
A47279604,호평우미린,경기도 남양주시 호평동 619 호평우미린,분양,개별난방,40588,5,352,(주)우미토건,(주)우미종합건설,315164500,315932520, ,아파트,경기도 남양주시 호평로 9,352,위탁관리,계단식,20041210,34077.24,224,128,0,0,24274.1372,4136010100,위탁관리,4,서일개발,위탁관리,6,(주)을지종합관리,위탁관리,3,차량수거방식,위탁관리,12,분무식,철근콘크리트구조,900,단일계약,위탁선임,P형,부스타방식,위탁관리,10,156,203,무,72,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,경춘선,NA,5~10분이내,관공서(호평평내행복복지센터) 병원(소규모 의원) 백화점(이마트) 대형상가(할인마트(이마트)) 공원(근린공원),초등학교(평동) 중학교(호평) 고등학교(호평)
A47279712,한라비발디,경기도 남양주시 호평동 678 한라비발디,분양,개별난방,74221,9,636,한라건설,한라건설,315120155,315120154, ,아파트,경기도 남양주시 늘을1로 270,636,위탁관리,계단식,20051121,56602.23,441,195,0,0,43008.804,4136010100,위탁관리,6,서일개발(주),위탁관리,6,(주)엠컨트럴시스템,위탁관리,6,차량수거방식,위탁관리,4,"도포식,분무식,독이식",철근콘크리트구조,1650,단일계약,상주선임,R형,부스타방식,위탁관리,19,135,597,유,128,"관리사무소, 노인정, 보육시설, 어린이놀이터, 자전거보관소",5분이내,경춘선,NA,10~15분이내,관공서(동사무소 등) 병원(소규모 의원) 백화점(이마트) 대형상가(할인마트(이마트)) 공원(근린공원),초등학교(평동) 중학교(호평) 고등학교(호평)
